Found 265 batch files (190 logical batches, 32 multi-part):
  - Edge file:packages/engine/Source/Core/GoogleEarthEnterpriseTerrainData.js → function:packages/engine/Source/Core/Intersections2D.js:Intersections2D (related): dropped, missing target 'function:packages/engine/Source/Core/Intersections2D.js:Intersections2D'
  - Edge file:packages/engine/Source/Core/TaskProcessor.js → function:packages/engine/Source/Core/TaskProcessor.js:TaskProcessor (exports): dropped, missing target 'function:packages/engine/Source/Core/TaskProcessor.js:TaskProcessor'
  - Edge file:packages/engine/Source/Scene/GltfPipeline/removeExtensionsUsed.js → function:packages/engine/Source/Scene/GltfPipeline/removeExtensionsRequired.js:removeExtensionsRequired (calls): dropped, missing target 'function:packages/engine/Source/Scene/GltfPipeline/removeExtensionsRequired.js:removeExtensionsRequired'
  - Edge file:packages/engine/Specs/Renderer/UniformSpec.js → file:packages/engine/Specs/createContext.js (imports): dropped, missing target 'file:packages/engine/Specs/createContext.js'
  - Edge file:packages/engine/Specs/Renderer/VertexArrayFacadeSpec.js → file:packages/engine/Specs/createContext.js (imports): dropped, missing target 'file:packages/engine/Specs/createContext.js'
  - Edge file:packages/engine/Specs/Renderer/VertexArrayFactorySpec.js → file:packages/engine/Specs/createContext.js (imports): dropped, missing target 'file:packages/engine/Specs/createContext.js'
  - Edge file:packages/engine/Specs/Renderer/VertexArraySpec.js → file:packages/engine/Specs/createContext.js (imports): dropped, missing target 'file:packages/engine/Specs/createContext.js'
  - Edge file:packages/engine/Specs/Renderer/loadCubeMapSpec.js → file:packages/engine/Specs/createContext.js (imports): dropped, missing target 'file:packages/engine/Specs/createContext.js'
  - Edge file:packages/engine/Specs/Scene/Azure2DImageryProviderSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/B3dmParserSpec.js → file:packages/engine/Specs/Cesium3DTilesTester.js (imports): dropped, missing target 'file:packages/engine/Specs/Cesium3DTilesTester.js'
  - Edge file:packages/engine/Specs/Scene/B3dmParserSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/BatchTableSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/BatchTextureSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/BillboardCollectionSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/BillboardCollectionSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/BingMapsImageryProviderSpec.js → file:packages/engine/Specs/pollToPromise.js (imports): dropped, missing target 'file:packages/engine/Specs/pollToPromise.js'
  - Edge file:packages/engine/Specs/Scene/CameraEventAggregatorSpec.js → file:packages/engine/Specs/createCanvas.js (imports): dropped, missing target 'file:packages/engine/Specs/createCanvas.js'
  - Edge file:packages/engine/Specs/Scene/CameraEventAggregatorSpec.js → file:packages/engine/Specs/DomEventSimulator.js (imports): dropped, missing target 'file:packages/engine/Specs/DomEventSimulator.js'
  - Edge file:packages/engine/Specs/Scene/CameraFlightPathSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Cesium3DTileBatchTableSpec.js → file:packages/engine/Specs/Cesium3DTilesTester.js (imports): dropped, missing target 'file:packages/engine/Specs/Cesium3DTilesTester.js'
  - Edge file:packages/engine/Specs/Scene/Cesium3DTileBatchTableSpec.js → file:packages/engine/Specs/concatTypedArrays.js (imports): dropped, missing target 'file:packages/engine/Specs/concatTypedArrays.js'
  - Edge file:packages/engine/Specs/Scene/Cesium3DTileBatchTableSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Cesium3DTileFeatureSpec.js → file:packages/engine/Specs/Cesium3DTilesTester.js (imports): dropped, missing target 'file:packages/engine/Specs/Cesium3DTilesTester.js'
  - Edge file:packages/engine/Specs/Scene/Cesium3DTileFeatureSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
  - Edge file:packages/engine/Specs/Scene/Cesium3DTileSpec.js → file:packages/engine/Specs/createScene.js (imports): dropped, missing target 'file:packages/engine/Specs/createScene.js'
